ID,ID salarié,Date de début,Type,Distance (m),Temps écoulé (s),Date de fin,Commentaire
1,59019,30/04/2025 06:37,Runing,15825,5692,30/04/2025 08:11,Nouveau record !
2,59019,14/06/2025 12:38,Runing,2869,866,14/06/2025 12:52,
3,59019,10/08/2025 09:28,Runing,21309,7697,10/08/2025 11:36,Nouveau record !
4,59019,21/08/2025 20:17,Runing,7094,2605,21/08/2025 21:00,Super sortie 💪
5,59019,05/09/2025 06:22,Runing,13270,3994,05/09/2025 07:28,
6,19841,28/05/2025 07:45,Runing,4279,1569,28/05/2025 08:11,Belle séance 🔥
7,19841,20/06/2025 06:24,Runing,11108,3623,20/06/2025 07:24,Nouveau record !
8,19841,28/10/2025 07:42,Runing,10748,3017,28/10/2025 08:32,Super sortie 💪
9,19841,25/01/2026 12:40,Runing,7607,2118,25/01/2026 13:15,
10,56482,04/05/2025 14:43,Tennis,,6158,04/05/2025 16:25,
11,56482,12/05/2025 20:38,Tennis,,6534,12/05/2025 22:27,
12,56482,16/05/2025 07:43,Tennis,,7098,16/05/2025 09:41,Entraînement technique
13,56482,21/05/2025 08:18,Tennis,,6261,21/05/2025 10:02,Victoire 6-3 6-4 🎾
14,56482,03/06/2025 17:32,Tennis,,4163,03/06/2025 18:41,
15,56482,13/06/2025 06:09,Tennis,,5763,13/06/2025 07:45,Victoire 6-3 6-4 🎾
16,56482,27/06/2025 17:31,Tennis,,2859,27/06/2025 18:18,Victoire 6-3 6-4 🎾
17,56482,28/06/2025 10:56,Tennis,,5219,28/06/2025 12:23,Victoire 6-3 6-4 🎾
18,56482,30/06/2025 06:05,Tennis,,6681,30/06/2025 07:56,Victoire 6-3 6-4 🎾
19,56482,05/07/2025 14:34,Tennis,,3730,05/07/2025 15:36,Victoire 6-3 6-4 🎾
20,56482,08/07/2025 08:16,Tennis,,7022,08/07/2025 10:13,
21,56482,04/08/2025 07:45,Tennis,,5253,04/08/2025 09:12,Entraînement technique
22,56482,08/08/2025 19:57,Tennis,,6939,08/08/2025 21:52,Entraînement technique
23,56482,13/08/2025 06:04,Tennis,,5469,13/08/2025 07:35,Victoire 6-3 6-4 🎾
24,56482,22/08/2025 08:00,Tennis,,3281,22/08/2025 08:54,
25,56482,30/08/2025 13:03,Tennis,,4575,30/08/2025 14:19,Victoire 6-3 6-4 🎾
26,56482,31/08/2025 08:55,Tennis,,5406,31/08/2025 10:25,Victoire 6-3 6-4 🎾
27,56482,02/09/2025 18:42,Tennis,,6676,02/09/2025 20:33,Victoire 6-3 6-4 🎾
28,56482,03/09/2025 18:15,Tennis,,6574,03/09/2025 20:04,Entraînement technique
29,56482,26/09/2025 06:42,Tennis,,6231,26/09/2025 08:25,Entraînement technique
30,56482,01/10/2025 20:55,Tennis,,3143,01/10/2025 21:47,
31,56482,20/10/2025 08:25,Tennis,,5479,20/10/2025 09:56,Victoire 6-3 6-4 🎾
32,56482,06/11/2025 06:34,Tennis,,6375,06/11/2025 08:20,Victoire 6-3 6-4 🎾
33,56482,08/11/2025 11:11,Tennis,,4981,08/11/2025 12:34,Entraînement technique
34,56482,09/11/2025 09:55,Tennis,,3317,09/11/2025 10:50,Entraînement technique
35,56482,23/11/2025 14:55,Tennis,,3502,23/11/2025 15:53,Victoire 6-3 6-4 🎾
36,56482,08/12/2025 08:59,Tennis,,4636,08/12/2025 10:16,Victoire 6-3 6-4 🎾
37,56482,26/12/2025 20:13,Tennis,,5985,26/12/2025 21:52,Victoire 6-3 6-4 🎾
38,56482,29/12/2025 06:24,Tennis,,4872,29/12/2025 07:45,Entraînement technique
39,56482,03/01/2026 10:27,Tennis,,6686,03/01/2026 12:18,Victoire 6-3 6-4 🎾
40,56482,18/01/2026 09:18,Tennis,,4483,18/01/2026 10:32,Victoire 6-3 6-4 🎾
41,56482,28/01/2026 17:03,Tennis,,3110,28/01/2026 17:54,
42,56482,30/01/2026 07:32,Tennis,,3356,30/01/2026 08:28,Victoire 6-3 6-4 🎾
43,56482,02/02/2026 06:25,Tennis,,3682,02/02/2026 07:26,
44,56482,10/02/2026 06:26,Tennis,,6982,10/02/2026 08:22,Entraînement technique
45,56482,11/02/2026 18:15,Tennis,,4875,11/02/2026 19:36,Entraînement technique
46,56482,05/03/2026 19:20,Tennis,,3294,05/03/2026 20:15,Victoire 6-3 6-4 🎾
47,56482,11/03/2026 07:34,Tennis,,4446,11/03/2026 08:48,
48,56482,13/03/2026 18:56,Tennis,,3263,13/03/2026 19:50,Victoire 6-3 6-4 🎾
49,56482,19/03/2026 07:28,Tennis,,7150,19/03/2026 09:27,
50,56482,03/04/2026 17:59,Tennis,,3548,03/04/2026 18:58,Victoire 6-3 6-4 🎾
51,56482,05/04/2026 10:07,Tennis,,3576,05/04/2026 11:06,
52,21886,31/07/2025 20:57,Runing,3664,1357,31/07/2025 21:19,Belle séance 🔥
53,21886,03/08/2025 08:00,Runing,12929,3485,03/08/2025 08:58,Belle séance 🔥
54,21886,31/08/2025 09:47,Runing,16478,4723,31/08/2025 11:05,Super sortie 💪
55,21886,04/09/2025 06:34,Runing,3180,824,04/09/2025 06:47,Nouveau record !
56,21886,09/09/2025 07:19,Runing,13948,3667,09/09/2025 08:20,Super sortie 💪
57,21886,10/10/2025 07:42,Runing,5368,1751,10/10/2025 08:11,
58,21886,21/02/2026 12:47,Runing,7064,1642,21/02/2026 13:14,Nouveau record !
59,21886,08/03/2026 14:51,Runing,7801,1765,08/03/2026 15:20,Belle séance 🔥
60,21886,04/04/2026 14:59,Runing,15491,4301,04/04/2026 16:10,Nouveau record !
61,81001,07/05/2025 18:21,Runing,11129,3065,07/05/2025 19:12,Belle séance 🔥
62,81001,12/06/2025 20:01,Runing,5779,1378,12/06/2025 20:24,Belle séance 🔥
63,81001,08/07/2025 17:22,Runing,12278,4154,08/07/2025 18:31,Super sortie 💪
64,81001,29/07/2025 18:02,Runing,16288,7061,29/07/2025 19:59,Nouveau record !
65,81001,09/08/2025 10:27,Runing,4292,1131,09/08/2025 10:45,Belle séance 🔥
66,81001,10/08/2025 13:54,Runing,6083,1568,10/08/2025 14:20,Belle séance 🔥
67,81001,12/08/2025 20:25,Runing,11688,3185,12/08/2025 21:18,
68,81001,21/09/2025 13:47,Runing,7702,2085,21/09/2025 14:21,Super sortie 💪
69,81001,14/10/2025 07:27,Runing,21004,5736,14/10/2025 09:02,
70,81001,30/10/2025 18:50,Runing,7560,1998,30/10/2025 19:23,Belle séance 🔥
71,81001,09/12/2025 18:14,Runing,8525,2818,09/12/2025 19:01,
72,81001,14/12/2025 12:54,Runing,4386,1443,14/12/2025 13:18,Nouveau record !
73,81001,12/04/2026 13:44,Runing,14582,4141,12/04/2026 14:53,Super sortie 💪
74,17757,13/05/2025 20:16,Badminton,,4879,13/05/2025 21:37,Partie de double 🏸
75,17757,19/06/2025 19:40,Badminton,,2779,19/06/2025 20:26,Entraînement smash
76,17757,25/06/2025 17:15,Badminton,,2912,25/06/2025 18:03,Entraînement smash
77,17757,08/07/2025 07:09,Badminton,,2747,08/07/2025 07:54,Entraînement smash
78,17757,17/07/2025 08:04,Badminton,,3499,17/07/2025 09:02,Entraînement smash
79,17757,08/08/2025 20:03,Badminton,,2647,08/08/2025 20:47,Entraînement smash
80,17757,23/08/2025 11:57,Badminton,,4953,23/08/2025 13:19,
81,17757,27/09/2025 13:01,Badminton,,5309,27/09/2025 14:29,
82,17757,21/11/2025 07:22,Badminton,,3023,21/11/2025 08:12,Entraînement smash
83,17757,22/11/2025 14:57,Badminton,,5223,22/11/2025 16:24,Entraînement smash
84,17757,30/11/2025 12:47,Badminton,,4809,30/11/2025 14:07,
